Year,Team,Opponent,Team_Points,Opponent_Points
2014,loyola-il,portland-state,63,67
2014,loyola-md,binghamton,79,74
2014,loyola-md,cornell,93,89
2014,loyola-md,fairfield,59,52
2014,loyola-md,maryland-baltimore-county,89,83
2014,loyola-marymount,grand-canyon,78,75
2014,loyola-marymount,south-dakota-state,98,89
2014,loyola-marymount,long-beach-state,74,73
2014,loyola-marymount,northern-arizona,90,78
2014,loyola-marymount,northern-iowa,81,90
2014,maine,rhode-island,77,97
2014,maine,george-washington,81,108
2014,maine,njit,82,88
2014,manhattan,la-salle,99,90
2014,manhattan,columbia,71,70
2014,manhattan,george-washington,74,80
2014,manhattan,illinois-state,79,70
2014,marist,stony-brook,55,71
2014,marist,elon,48,75
2014,marist,saint-josephs,62,81
2014,marist,providence,48,93
2014,marist,maryland,43,68
2014,marquette,southern,63,56
2014,marquette,grambling,114,71
2014,marquette,ohio-state,35,52
2014,marquette,new-hampshire,58,53
2014,marshall,south-carolina-state,85,69
2014,marshall,morehead-state,94,102
2014,marshall,stephen-f-austin,73,80
2014,maryland,connecticut,77,78
2014,maryland,abilene-christian,67,44
2014,maryland,oregon-state,83,90
2014,maryland,marist,68,43
2014,maryland-baltimore-county,arizona-state,61,96
2014,maryland-baltimore-county,american,61,63
2014,maryland-baltimore-county,mount-st-marys,90,84
2014,maryland-baltimore-county,loyola-md,83,89
2014,maryland-eastern-shore,columbia,54,73
2014,maryland-eastern-shore,iowa,63,109
2014,maryland-eastern-shore,mount-st-marys,78,71
2014,massachusetts,boston-college,86,73
2014,massachusetts,louisiana-state,92,90
2014,massachusetts,youngstown-state,85,69
2014,massachusetts,nebraska,96,90
2014,massachusetts,new-mexico,81,65
2014,massachusetts-lowell,michigan,42,69
2014,massachusetts-lowell,boston-university,65,91
2014,massachusetts-lowell,dartmouth,59,77
2014,massachusetts-lowell,brown,76,87
2014,mcneese-state,michigan-state,56,98
2014,mcneese-state,louisiana-lafayette,66,92
2014,mcneese-state,georgia-state,70,96
2014,memphis,austin-peay,95,69
2014,memphis,oklahoma-state,80,101
2014,mercer,texas,73,76
2014,mercer,seton-hall,77,74
2014,mercer,evansville,76,89
2014,miami-fl,st-francis-ny,62,66
2014,miami-fl,georgia-southern,81,80
2014,miami-fl,texas-southern,84,69
2014,miami-fl,college-of-charleston,70,54
2014,miami-fl,central-florida,58,63
2014,miami-oh,notre-dame,62,74
2014,miami-oh,arizona-state,54,90
2014,miami-oh,xavier,51,77
